,Area Type,Area Name,Year,Month,Date,Series Code,Industry Title,Seasonally Adjusted,Current Employment
0,County,Alpine County,2014,January,01/01/2014,90000000,Government,N,330
1,County,Amador County,2014,January,01/01/2014,1000000,Total Wage and Salary,N,10890
2,County,Butte County,2014,January,01/01/2014,80000000,Other Services,N,3800
3,County,Colusa County,2014,January,01/01/2014,65000000,Educational and Health Services,N,500
4,County,Kern County,2014,January,01/01/2014,70000000,Leisure and Hospitality,N,22600
5,County,Lake County,2014,January,01/01/2014,1000000,Total Wage and Salary,N,15110
6,County,Los Angeles County,2014,January,01/01/2014,41423900,Miscellaneous Durable Goods Merchant Who,N,20600
7,County,Los Angeles County,2014,January,01/01/2014,60550000,Management of Companies and Enterprises,N,62800
8,County,Mariposa County,2014,January,01/01/2014,7000000,Service Providing,N,4310
9,County,Napa County,2014,January,01/01/2014,11000000,Total Farm,N,3700
10,County,Placer County,2014,January,01/01/2014,90000000,Government,N,19200
11,County,San Francisco County,2014,January,01/01/2014,11000000,Total Farm,N,200
12,County,San Luis Obispo County,2014,January,01/01/2014,0,Total Nonfarm,Y,106800
13,County,Santa Barbara County,2014,January,01/01/2014,43000000,"Transportation, Warehousing and Utilitie",N,3300
14,County,Santa Clara County,2014,January,01/01/2014,41000000,Wholesale Trade,N,36700
15,County,Santa Cruz County,2014,January,01/01/2014,1000000,Total Wage and Salary,N,96200
16,County,Stanislaus County,2014,January,01/01/2014,15000000,"Natural Resources, Mining and Constructi",N,6800
17,County,Trinity County,2014,January,01/01/2014,5000000,Total Private,N,1360
18,County,Tulare County,2014,January,01/01/2014,30000000,Manufacturing,N,11600
19,County,Ventura County,2014,January,01/01/2014,90922000,State Government Excluding Education,N,1500
20,Metropolitan Area,Chico MSA,2014,January,01/01/2014,90921611,State Government Education,N,3100
21,Metropolitan Area,El Centro MSA,2014,January,01/01/2014,1000000,Total Wage and Salary,N,64700
22,Metropolitan Area,Fresno MSA,2014,January,01/01/2014,60000000,Professional and Business Services,N,29300
23,Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014,January,01/01/2014,55520000,Finance and Insurance,N,135200
24,Metropolitan Area,Oakland-Hayward-Berkeley MD,2014,January,01/01/2014,90921611,State Government Education,N,25700
25,Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014,January,01/01/2014,0,Total Nonfarm,Y,293000
26,Metropolitan Area,Salinas MSA,2014,January,01/01/2014,90939012,County,N,4700
27,Metropolitan Area,San Diego-Carlsbad MSA,2014,January,01/01/2014,65620000,Health Care and Social Assistance,N,153400
28,Metropolitan Area,Santa Maria-Santa Barbara MSA,2014,January,01/01/2014,60560000,Administrative and Support and Waste Ser,N,11000
29,Metropolitan Area,Stockton-Lodi MSA,2014,January,01/01/2014,70720000,Accommodation and Food Service,N,16200
30,Metropolitan Area,Visalia-Porterville MSA,2014,January,01/01/2014,42452000,General Merchandise Stores,N,3900
31,State,California,2014,January,01/01/2014,65624400,Child Day Care Services,N,65600
32,State,California,2014,January,01/01/2014,42445000,Food and Beverage Stores,N,343100
33,State,California,2014,January,01/01/2014,80813000,"Religious, Grantmaking, Civic, Professio",N,218800
